id,year,area_title,industry_title,industry_emplvl,total_emplvl,industry_emp_pct,industry_emp_pct_us,region
Alaska 62,1990,Alaska,Health care and social assistance,17182,231661,0.0741687206737431,0.10168415696401845,West
Alaska 71,1990,Alaska,"Arts, entertainment, and recreation",3457,231661,0.014922667173153875,0.015898206127530793,West
Alaska 72,1990,Alaska,Accommodation and food services,18661,231661,0.0805530494990525,0.0732416793262012,West
Alaska 81,1990,Alaska,"Other services, except public administration",8598,231661,0.037114576903319936,0.032391858003697725,West
Alaska 92,1990,Alaska,Public administration,34787,231661,0.15016338529143877,0.05871915597979498,West
Arizona 11,1990,Arizona,"Agriculture, forestry, fishing and hunting",23724,1463255,0.016213168586473307,0.010081339957142024,West
Arizona 21,1990,Arizona,"Mining, quarrying, and oil and gas extraction",12294,1463255,0.008401816498149674,0.006107069487153181,West
Arizona 22,1990,Arizona,Utilities,21397,1463255,0.014622878445657114,0.009209375380671842,West
Arizona 23,1990,Arizona,Construction,89477,1463255,0.06114928703472737,0.049639363954906875,West
Arizona 31-33,1990,Arizona,Manufacturing,179077,1463255,0.12238263323890915,0.1650793442794685,West
Arizona 42,1990,Arizona,Wholesale trade,63634,1463255,0.04348797714684043,0.04771221009260455,West
Arizona 44-45,1990,Arizona,Retail trade,200681,1463255,0.1371469771160871,0.1242573250465966,West
Arizona 48-49,1990,Arizona,Transportation and warehousing,49934,1463255,0.03412528916695996,0.039290996768313484,West
Arizona 51,1990,Arizona,Information,34737,1463255,0.023739539588110068,0.0267274287463636,West
Arizona 52,1990,Arizona,Finance and insurance,67084,1463255,0.04584573433885413,0.04705542834509937,West
Arizona 53,1990,Arizona,Real estate and rental and leasing,33309,1463255,0.022763633132980923,0.01649028834858472,West
Arizona 54,1990,Arizona,Professional and technical services,60616,1463255,0.04142545215973976,0.0459936778766959,West
Arizona 55,1990,Arizona,Management of companies and enterprises,3670,1463255,0.0025081069259971773,0.009481056257873937,West
Arizona 56,1990,Arizona,Administrative and waste services,76547,1463255,0.052312823123789085,0.042692472313767764,West
Arizona 61,1990,Arizona,Educational services,95760,1463255,0.06544313875571926,0.07824756674351452,West
Arizona 62,1990,Arizona,Health care and social assistance,141216,1463255,0.09650812742823363,0.10168415696401845,West
Arizona 71,1990,Arizona,"Arts, entertainment, and recreation",29047,1463255,0.01985094874099183,0.015898206127530793,West
Arizona 72,1990,Arizona,Accommodation and food services,138708,1463255,0.09479414046082194,0.0732416793262012,West
Arizona 81,1990,Arizona,"Other services, except public administration",56057,1463255,0.038309795626872964,0.032391858003697725,West
Arizona 92,1990,Arizona,Public administration,86286,1463255,0.05896853248408514,0.05871915597979498,West
Arkansas 11,1990,Arkansas,"Agriculture, forestry, fishing and hunting",14159,890063,0.015907862701853688,0.010081339957142024,South
Arkansas 21,1990,Arkansas,"Mining, quarrying, and oil and gas extraction",4243,890063,0.00476707828546968,0.006107069487153181,South
Arkansas 22,1990,Arkansas,Utilities,11095,890063,0.012465409751893967,0.009209375380671842,South
Arkansas 23,1990,Arkansas,Construction,38319,890063,0.0430520086780374,0.049639363954906875,South
Arkansas 31-33,1990,Arkansas,Manufacturing,219359,890063,0.24645334094328153,0.1650793442794685,South
Arkansas 42,1990,Arkansas,Wholesale trade,38739,890063,0.043523885387888275,0.04771221009260455,South
Arkansas 44-45,1990,Arkansas,Retail trade,109842,890063,0.12340924181771402,0.1242573250465966,South
Arkansas 48-49,1990,Arkansas,Transportation and warehousing,45506,890063,0.05112671799636655,0.039290996768313484,South
Arkansas 51,1990,Arkansas,Information,18370,890063,0.020638988476096635,0.0267274287463636,South
Arkansas 52,1990,Arkansas,Finance and insurance,28810,890063,0.0323684952638184,0.04705542834509937,South
Arkansas 53,1990,Arkansas,Real estate and rental and leasing,10185,890063,0.011443010213883737,0.01649028834858472,South
Arkansas 54,1990,Arkansas,Professional and technical services,19886,890063,0.02234223869546313,0.0459936778766959,South
Arkansas 55,1990,Arkansas,Management of companies and enterprises,4574,890063,0.0051389620734712035,0.009481056257873937,South
Arkansas 56,1990,Arkansas,Administrative and waste services,28415,890063,0.03192470645336341,0.042692472313767764,South
Arkansas 61,1990,Arkansas,Educational services,68473,890063,0.0769305094133786,0.07824756674351452,South
Arkansas 62,1990,Arkansas,Health care and social assistance,103532,890063,0.11631985601019254,0.10168415696401845,South
Arkansas 71,1990,Arkansas,"Arts, entertainment, and recreation",8874,890063,0.009970080769563502,0.015898206127530793,South
Arkansas 72,1990,Arkansas,Accommodation and food services,57551,890063,0.06465946792530416,0.0732416793262012,South
Arkansas 81,1990,Arkansas,"Other services, except public administration",24016,890063,0.026982359675663408,0.032391858003697725,South
Arkansas 92,1990,Arkansas,Public administration,36115,890063,0.04057577946729614,0.05871915597979498,South
California 11,1990,California,"Agriculture, forestry, fishing and hunting",373615,13203711,0.02829621157264045,0.010081339957142024,West
California 21,1990,California,"Mining, quarrying, and oil and gas extraction",38367,13203711,0.0029057739903577107,0.006107069487153181,West
California 22,1990,California,Utilities,116547,13203711,0.008826836637063625,0.009209375380671842,West
California 23,1990,California,Construction,704256,13203711,0.053337732096681,0.049639363954906875,West
California 31-33,1990,California,Manufacturing,2069956,13203711,0.15677077451937566,0.1650793442794685,West
California 42,1990,California,Wholesale trade,625469,13203711,0.04737069752586981,0.04771221009260455,West
California 44-45,1990,California,Retail trade,1527819,13203711,0.1157113329729801,0.1242573250465966,West
California 48-49,1990,California,Transportation and warehousing,481621,13203711,0.036476184612038234,0.039290996768313484,West
California 51,1990,California,Information,434525,13203711,0.032909308602710255,0.0267274287463636,West
California 52,1990,California,Finance and insurance,616931,13203711,0.04672406113705457,0.04705542834509937,West
California 53,1990,California,Real estate and rental and leasing,266737,13203711,0.02020166906106927,0.01649028834858472,West
California 54,1990,California,Professional and technical services,758264,13203711,0.05742809729779757,0.0459936778766959,West
California 55,1990,California,Management of companies and enterprises,47283,13203711,0.0035810386943488843,0.009481056257873937,West
California 56,1990,California,Administrative and waste services,660202,13203711,0.050001245861864135,0.042692472313767764,West
California 61,1990,California,Educational services,988983,13203711,0.07490189689853102,0.07824756674351452,West
California 62,1990,California,Health care and social assistance,1101413,13203711,0.08341692725628423,0.10168415696401845,West
California 71,1990,California,"Arts, entertainment, and recreation",247949,13203711,0.018778735766028204,0.015898206127530793,West
California 72,1990,California,Accommodation and food services,972121,13203711,0.07362483168557687,0.0732416793262012,West
California 81,1990,California,"Other services, except public administration",474504,13203711,0.035937169482125136,0.032391858003697725,West
California 92,1990,California,Public administration,697149,13203711,0.052799474329603246,0.05871915597979498,West
Colorado 11,1990,Colorado,"Agriculture, forestry, fishing and hunting",10248,1487676,0.0068885967105740764,0.010081339957142024,West
Colorado 21,1990,Colorado,"Mining, quarrying, and oil and gas extraction",17003,1487676,0.011429235935781715,0.006107069487153181,West
Colorado 22,1990,Colorado,Utilities,15201,1487676,0.010217950682809967,0.009209375380671842,West
Colorado 23,1990,Colorado,Construction,66717,1487676,0.04484645850306115,0.049639363954906875,West
Colorado 31-33,1990,Colorado,Manufacturing,160604,1487676,0.10795630231313808,0.1650793442794685,West
Colorado 42,1990,Colorado,Wholesale trade,75600,1487676,0.05081751671734974,0.04771221009260455,West
Colorado 44-45,1990,Colorado,Retail trade,174323,1487676,0.11717806834283809,0.1242573250465966,West
Colorado 48-49,1990,Colorado,Transportation and warehousing,54486,1487676,0.036624910262718496,0.039290996768313484,West
Colorado 51,1990,Colorado,Information,53316,1487676,0.0358384486944738,0.0267274287463636,West
Colorado 52,1990,Colorado,Finance and insurance,73156,1487676,0.04917468588590526,0.04705542834509937,West
Colorado 53,1990,Colorado,Real estate and rental and leasing,31893,1487676,0.021438135723100996,0.01649028834858472,West
Colorado 54,1990,Colorado,Professional and technical services,87753,1487676,0.05898663418647609,0.0459936778766959,West
Colorado 55,1990,Colorado,Management of companies and enterprises,14720,1487676,0.009894627593642702,0.009481056257873937,West
Colorado 56,1990,Colorado,Administrative and waste services,79772,1487676,0.05362189078804794,0.042692472313767764,West
Colorado 61,1990,Colorado,Educational services,124396,1487676,0.08361766943877565,0.07824756674351452,West
Colorado 62,1990,Colorado,Health care and social assistance,132972,1487676,0.08938236551507182,0.10168415696401845,West
Colorado 71,1990,Colorado,"Arts, entertainment, and recreation",23695,1487676,0.015927527230391564,0.015898206127530793,West
Colorado 72,1990,Colorado,Accommodation and food services,151991,1487676,0.10216673522998287,0.0732416793262012,West
Colorado 81,1990,Colorado,"Other services, except public administration",48546,1487676,0.032632105377783875,0.032391858003697725,West
Colorado 92,1990,Colorado,Public administration,91284,1487676,0.061360134868076115,0.05871915597979498,West
Connecticut 11,1990,Connecticut,"Agriculture, forestry, fishing and hunting",4352,1615456,0.002693976190004556,0.010081339957142024,Northeast
